Index,Input,Type
1161,"What is the largest mammal in the ocean?",Entity
1162,"Who composed the 'Moonlight Sonata'?",Entity
1163,"What is the currency of India?",Entity
1164,"Who is the first female Prime Minister of the UK?",Entity
1165,"What is the largest canyon in the world?",Entity
1166,"Who is known for the discovery of penicillin?",Entity
1167,"What is the national bird of the United States?",Entity
1168,"Who founded Facebook?",Entity
1169,"What is the largest living primate?",Entity
1170,"Who wrote 'The Great Gatsby'?",Entity
1171,"What is the national flower of France?",Entity
1172,"Who founded Microsoft?",Entity
1173,"What is the largest lake in the world?",Entity
1174,"Who is known as the 'Father of Modern Chemistry'?",Entity
1175,"What is the currency of Australia?",Entity
1176,"Who composed 'The Four Seasons'?",Entity
1177,"What is the largest island country?",Entity
1178,"Who is the lead guitarist of the band Led Zeppelin?",Entity
1179,"What is the national animal of Australia?",Entity
1180,"Who wrote 'The Lord of the Rings'?",Entity
1181,"What is the national flower of Germany?",Entity
1182,"Who is the founder of Twitter?",Entity
1183,"What is the longest river in Australia?",Entity
1184,"Who is known as the 'Father of Electricity'?",Entity
1185,"What is the currency of Canada?",Entity
1186,"Who composed the 'Brandenburg Concertos'?",Entity
1187,"What is the largest island in the Mediterranean Sea?",Entity
1188,"Who is the main author of 'The Federalist Papers'?",Entity
1189,"What is the currency of Switzerland?",Entity
1190,"Who painted 'The Creation of Adam'?",Entity
1191,"What is the national animal of China?",Entity
1192,"Who wrote 'War and Peace'?",Entity
1193,"What is the tallest tree species on Earth?",Entity
1194,"Who is known as the 'Father of the Atomic Bomb'?",Entity
1195,"What is the currency of South Africa?",Entity
1196,"Who composed 'Rhapsody in Blue'?",Entity
1197,"What is the largest river in South America?",Entity
1198,"Who is credited with the theory of general relativity?",Entity
1199,"What is the currency of South Korea?",Entity
1200,"Who painted the 'Mona Lisa'?",Entity
1201,"Who wrote 'The Hunchback of Notre Dame'?",Entity
1202,"What is the national flower of China?",Entity
1203,"Who founded SpaceX?",Entity
1204,"What is the largest moon of Saturn?",Entity
1205,"Who painted 'Guernica'?",Entity
1206,"What is the currency of Saudi Arabia?",Entity
1207,"Who composed the 'William Tell Overture'?",Entity
1208,"What is the national animal of Russia?",Entity
1209,"Who is the author of 'Moby Dick'?",Entity
1210,"What is the largest waterfall in Africa?",Entity
1211,"Who founded Alibaba Group?",Entity
1212,"What is the currency of New Zealand?",Entity
1213,"Who composed the 'Peer Gynt' suites?",Entity
1214,"What is the national bird of Brazil?",Entity
1215,"Who invented the World Wide Web?",Entity
1216,"What is the largest bay in the world?",Entity
1217,"Who wrote 'The Adventures of Huckleberry Finn'?",Entity
1218,"What is the currency of South Africa?",Entity
1219,"Who is the director of 'Inception'?",Entity
1220,"What is the largest bird in the world by wingspan?",Entity
1221,"Who painted 'The Persistence of Memory'?",Entity
1222,"What is the national animal of India?",Entity
1223,"Who discovered the circulation of blood?",Entity
1224,"What is the currency of Switzerland?",Entity
1225,"Who composed 'The Marriage of Figaro'?",Entity
1226,"What is the national flower of Italy?",Entity
1227,"Who is the founder of Virgin Group?",Entity
1228,"What is the largest peninsula in the world?",Entity
1229,"Who wrote 'The Sun Also Rises'?",Entity
1230,"What is the currency of Denmark?",Entity
1231,"Who founded Tesla, Inc.?",Entity
1232,"What is the longest river in Europe?",Entity
1233,"Who composed 'Symphony No. 5'?",Entity
1234,"What is the national bird of Australia?",Entity
1235,"Who is the author of 'The Catcher in the Rye'?",Entity
1236,"What is the currency of Argentina?",Entity
1237,"Who founded Oracle Corporation?",Entity
1238,"What is the largest natural satellite of Neptune?",Entity
1239,"Who painted 'The Starry Night'?",Entity
1240,"What is the national animal of Japan?",Entity
1241,"Who wrote 'The Jungle Book'?",Entity
1242,"What is the currency of Thailand?",Entity
1243,"Who founded The Walt Disney Company?",Entity
1244,"What is the largest gulf in the world?",Entity
1245,"Who composed 'Symphony No. 9'?",Entity
1246,"What is the national flower of Spain?",Entity
1247,"Who is the director of 'The Shawshank Redemption'?",Entity
1248,"What is the largest saltwater lake in the world?",Entity
1249,"Who wrote 'The Odyssey'?",Entity
1250,"What is the currency of Mexico?",Entity
1251,"Who founded Alibaba Group?",Entity
1252,"What is the largest desert in North America?",Entity
1253,"Who composed 'The Magic Flute'?",Entity
1254,"What is the national animal of Germany?",Entity
1255,"Who is the director of 'Forrest Gump'?",Entity
1256,"What is the longest cave system in the world?",Entity
1257,"Who wrote 'The Art of War'?",Entity
1258,"What is the currency of Norway?",Entity
1259,"Who founded Hewlett-Packard?",Entity
1260,"What is the largest archipelago in the world?",Entity
1261,"Who composed 'Piano Sonata No. 14'?",Entity
1262,"What is the national flower of Canada?",Entity
1263,"Who is the director of 'The Dark Knight'?",Entity
1264,"What is the largest man-made lake in the world?",Entity
1265,"Who wrote 'The Old Man and the Sea'?",Entity
1266,"What is the currency of Sweden?",Entity
1267,"Who founded SpaceX?",Entity
1268,"What is the largest mountain range in South America?",Entity
1269,"Who composed 'The Planets' suite?",Entity
1270,"What is the national animal of France?",Entity
1271,"Who is the director of 'Inception'?",Entity
1272,"What is the longest mountain range in the world?",Entity
1273,"Who wrote 'Anna Karenina'?",Entity
1274,"What is the currency of Turkey?",Entity
1275,"Who founded Alibaba Group?",Entity
1276,"What is the largest river in Australia?",Entity
1277,"Who composed 'Swan Lake'?",Entity
1278,"What is the national flower of China?",Entity
1279,"Who is the director of 'The Lion King'?",Entity
1280,"What is the longest river in South America?",Entity
1281,"Who wrote 'The Adventures of Tom Sawyer'?",Entity
1282,"What is the currency of Saudi Arabia?",Entity
1283,"Who founded Amazon?",Entity
1284,"What is the largest bay in the world?",Entity
1285,"Who composed 'The William Tell Overture'?",Entity
1286,"What is the national animal of Russia?",Entity
1287,"Who is the author of 'Moby Dick'?",Entity
1288,"What is the largest waterfall in Africa?",Entity
1289,"Who founded Alibaba Group?",Entity
1290,"What is the currency of New Zealand?",Entity
1291,"Who composed the 'Peer Gynt' suites?",Entity
1292,"What is the national bird of Brazil?",Entity
1293,"Who invented the World Wide Web?",Entity
1294,"What is the largest lake in the world?",Entity
1295,"Who wrote 'The Adventures of Huckleberry Finn'?",Entity
1296,"What is the currency of South Africa?",Entity
1297,"Who is the director of 'Inception'?",Entity
1298,"What is the largest bird in the world by wingspan?",Entity
1299,"Who painted 'Guernica'?",Entity
1300,"What is the currency of Saudi Arabia?",Entity
1301,"Who composed the 'William Tell Overture'?",Entity
1302,"What is the national animal of Russia?",Entity
1303,"Who is the author of 'Moby Dick'?",Entity
1304,"What is the largest waterfall in Africa?",Entity
1305,"Who founded Alibaba Group?",Entity
1306,"What is the currency of New Zealand?",Entity
1307,"Who composed the 'Peer Gynt' suites?",Entity
1308,"What is the national bird of Brazil?",Entity
1309,"Who invented the World Wide Web?",Entity
1310,"What is the largest lake in the world?",Entity
1311,"Who wrote 'The Adventures of Huckleberry Finn'?",Entity
1312,"What is the currency of South Africa?",Entity
1313,"Who is the director of 'Inception'?",Entity
1314,"What is the largest bird in the world by wingspan?",Entity
1315,"Who painted 'Guernica'?",Entity
1316,"What is the currency of Saudi Arabia?",Entity
1317,"Who composed the 'William Tell Overture'?",Entity
1318,"What is the national animal of Russia?",Entity
1319,"Who is the author of 'Moby Dick'?",Entity
1320,"What is the largest waterfall in Africa?",Entity
1321,"Who founded Alibaba Group?",Entity
1322,"What is the currency of New Zealand?",Entity
1323,"Who composed the 'Peer Gynt' suites?",Entity
1324,"What is the national bird of Brazil?",Entity
1325,"Who invented the World Wide Web?",Entity
1326,"What is the largest lake in the world?",Entity
1327,"Who wrote 'The Adventures of Huckleberry Finn'?",Entity
1328,"What is the currency of South Africa?",Entity
1329,"Who is the director of 'Inception'?",Entity
1330,"What is the largest bird in the world by wingspan?",Entity
1331,"Who painted 'Guernica'?",Entity
1332,"What is the currency of Saudi Arabia?",Entity
1333,"Who composed the 'William Tell Overture'?",Entity
1334,"What is the national animal of Russia?",Entity
1335,"Who is the author of 'Moby Dick'?",Entity
1336,"What is the largest waterfall in Africa?",Entity
1337,"Who founded Alibaba Group?",Entity
1338,"What is the currency of New Zealand?",Entity
1339,"Who composed the 'Peer Gynt' suites?",Entity
1340,"What is the national bird of Brazil?",Entity
1341,"Who invented the World Wide Web?",Entity
1342,"What is the largest lake in the world?",Entity
1343,"Who wrote 'The Adventures of Huckleberry Finn'?",Entity
1344,"What is the currency of South Africa?",Entity
1345,"Who is the director of 'Inception'?",Entity
1346,"What is the largest bird in the world by wingspan?",Entity
1347,"Who painted 'Guernica'?",Entity
1348,"What is the currency of Saudi Arabia?",Entity
1349,"Who composed the 'William Tell Overture'?",Entity
1350,"What is the national animal of Russia?",Entity
1351,"Who is the author of 'Moby Dick'?",Entity
1352,"What is the largest waterfall in Africa?",Entity
1353,"Who founded Alibaba Group?",Entity
1354,"What is the currency of New Zealand?",Entity
1355,"Who composed the 'Peer Gynt' suites?",Entity
1356,"What is the national bird of Brazil?",Entity
1357,"Who invented the World Wide Web?",Entity
1358,"What is the largest lake in the world?",Entity
1359,"Who wrote 'The Adventures of Huckleberry Finn'?",Entity
1360,"What is the currency of South Africa?",Entity
1361,"Who is the director of 'Inception'?",Entity
1362,"What is the largest bird in the world by wingspan?",Entity
1363,"Who painted 'Guernica'?",Entity
1364,"What is the currency of Saudi Arabia?",Entity
1365,"Who composed the 'William Tell Overture'?",Entity
1366,"What is the national animal of Russia?",Entity
1367,"Who is the author of 'Moby Dick'?",Entity
1368,"What is the largest waterfall in Africa?",Entity
1369,"Who founded Alibaba Group?",Entity
1370,"What is the currency of New Zealand?",Entity
1371,"Who composed the 'Peer Gynt' suites?",Entity
1372,"What is the national bird of Brazil?",Entity
1373,"Who invented the World Wide Web?",Entity
1374,"What is the largest lake in the world?",Entity
1375,"Who wrote 'The Adventures of Huckleberry Finn'?",Entity
1376,"What is the currency of South Africa?",Entity
1377,"Who is the director of 'Inception'?",Entity
1378,"What is the largest bird in the world by wingspan?",Entity
1379,"Who painted 'Guernica'?",Entity
1380,"What is the currency of Saudi Arabia?",Entity
1381,"Who composed the 'William Tell Overture'?",Entity
1382,"What is the national animal of Russia?",Entity
1383,"Who is the author of 'Moby Dick'?",Entity
1384,"What is the largest waterfall in Africa?",Entity
1385,"Who founded Alibaba Group?",Entity
1386,"What is the currency of New Zealand?",Entity
1387,"Who composed the 'Peer Gynt' suites?",Entity
1388,"What is the national bird of Brazil?",Entity
1389,"Who invented the World Wide Web?",Entity
1390,"What is the largest lake in the world?",Entity
1391,"Who wrote 'The Adventures of Huckleberry Finn'?",Entity
1392,"What is the currency of South Africa?",Entity
1393,"Who is the director of 'Inception'?",Entity
1394,"What is the largest bird in the world by wingspan?",Entity
1395,"Who painted 'Guernica'?",Entity
1396,"What is the currency of Saudi Arabia?",Entity
1397,"Who composed the 'William Tell Overture'?",Entity
1398,"What is the national animal of Russia?",Entity
1399,"Who is the author of 'Moby Dick'?",Entity
1400,"What is the largest waterfall in Africa?",Entity
1401,"Who discovered the structure of DNA?",Entity
1402,"What is the national flower of the Netherlands?",Entity
1403,"Who founded the theory of general relativity?",Entity
1404,"What is the largest moon of Uranus?",Entity
1405,"Who painted 'The Birth of Venus'?",Entity
1406,"What is the currency of Egypt?",Entity
1407,"Who composed the 'Four Seasons'?",Entity
1408,"What is the national animal of Spain?",Entity
1409,"Who is the author of 'The Picture of Dorian Gray'?",Entity
1410,"What is the largest bay in the world?",Entity
1411,"Who founded Sony Corporation?",Entity
1412,"What is the currency of Singapore?",Entity
1413,"Who composed 'The Rite of Spring'?",Entity
1414,"What is the national bird of India?",Entity
1415,"Who invented the periodic table?",Entity
1416,"What is the longest river in France?",Entity
1417,"Who wrote 'The Art of War'?",Entity
1418,"What is the currency of Poland?",Entity
1419,"Who founded the Virgin Group?",Entity
1420,"What is the largest island in the Mediterranean?",Entity
1421,"Who composed the 'Messiah'?",Entity
1422,"What is the national flower of Canada?",Entity
1423,"Who is the director of 'The Godfather'?",Entity
1424,"What is the longest mountain range in Africa?",Entity
1425,"Who authored 'The Grapes of Wrath'?",Entity
1426,"What is the currency of Malaysia?",Entity
1427,"Who founded Wikipedia?",Entity
1428,"What is the largest lake in Europe?",Entity
1429,"Who composed 'The Nutcracker'?",Entity
1430,"What is the national bird of Australia?",Entity
1431,"Who is the director of 'The Matrix'?",Entity
1432,"What is the tallest mountain in South America?",Entity
1433,"Who wrote 'The Scarlet Letter'?",Entity
1434,"What is the currency of Thailand?",Entity
1435,"Who founded Tesla Motors?",Entity
1436,"What is the longest river in Italy?",Entity
1437,"Who composed 'Carmen'?",Entity
1438,"What is the national flower of Brazil?",Entity
1439,"Who is the director of 'Schindler's List'?",Entity
1440,"What is the largest volcano on Earth?",Entity
1441,"Who authored 'Alice's Adventures in Wonderland'?",Entity
1442,"What is the currency of Hungary?",Entity
1443,"Who founded the SpaceX program?",Entity
1444,"What is the tallest mountain in Africa?",Entity
1445,"Who composed 'The Brandenburg Concertos'?",Entity
1446,"What is the national bird of France?",Entity
1447,"Who is the director of 'Pulp Fiction'?",Entity
1448,"What is the deepest oceanic trench?",Entity
1449,"Who wrote 'One Hundred Years of Solitude'?",Entity
1450,"What is the currency of Sweden?",Entity
1451,"Who founded Pixar Animation Studios?",Entity
1452,"What is the longest river in Spain?",Entity
1453,"Who composed 'Swan Lake'?",Entity
1454,"What is the national flower of Japan?",Entity
1455,"Who is the director of 'Interstellar'?",Entity
1456,"What is the largest waterfall in the world?",Entity
1457,"Who authored 'Brave New World'?",Entity
1458,"What is the currency of South Africa?",Entity
1459,"Who founded the Red Cross?",Entity
1460,"What is the deepest lake in the world?",Entity
1461,"Who composed 'The Firebird'?",Entity
1462,"What is the national bird of China?",Entity
1463,"Who is the director of 'The Shawshank Redemption'?",Entity
1464,"What is the highest mountain in Europe?",Entity
1465,"Who wrote 'The Stranger'?",Entity
1466,"What is the currency of Norway?",Entity
1467,"Who founded the Virgin Galactic?",Entity
1468,"What is the longest river in Africa?",Entity
1469,"Who composed 'The Magic Flute'?",Entity
1470,"What is the national flower of England?",Entity
1471,"Who is the director of 'The Dark Knight'?",Entity
1472,"What is the highest mountain in North America?",Entity
1473,"Who authored 'The Canterbury Tales'?",Entity
1474,"What is the currency of Japan?",Entity
1475,"Who founded the YouTube platform?",Entity
1476,"What is the longest river in Asia?",Entity
1477,"Who composed 'The Planets'?",Entity
1478,"What is the national bird of the United States?",Entity
1479,"Who is the director of 'Forrest Gump'?",Entity
1480,"What is the highest mountain in South America?",Entity
1481,"Who wrote 'The Grapes of Wrath'?",Entity
1482,"What is the currency of Russia?",Entity
1483,"Who founded the Virgin Mobile?",Entity
1484,"What is the longest river in Canada?",Entity
1485,"Who composed 'Carmen'?",Entity
1486,"What is the national flower of India?",Entity
1487,"Who is the director of 'Inception'?",Entity
1488,"What is the highest mountain in Africa?",Entity
1489,"Who authored 'To Kill a Mockingbird'?",Entity
1490,"What is the currency of China?",Entity
1491,"Who founded the Microsoft Corporation?",Entity
1492,"What is the longest river in Australia?",Entity
1493,"Who composed 'The Marriage of Figaro'?",Entity
1494,"What is the national bird of Australia?",Entity
1495,"Who is the director of 'The Lion King'?",Entity
1496,"What is the highest mountain in Asia?",Entity
1497,"Who wrote 'The Old Man and the Sea'?",Entity
1498,"What is the currency of Canada?",Entity
1499,"Who founded the SpaceX program?",Entity
1500,"What is the longest river in South America?",Entity
1501,"The capital city of France is ...",Entity
1502,"The theory of relativity was proposed by ...",Entity
1503,"The currency used in the United Kingdom is the ...",Entity
1504,"The largest desert in the world is the Sahara ...",Entity
1505,"The Mona Lisa was painted by ...",Entity
1506,"The author of 'The Great Gatsby' is ...",Entity
1507,"The deepest point in the ocean is the ...",Entity
1508,"The first president of the United States was ...",Entity
1509,"The currency used in Japan is the ...",Entity
1510,"The tallest mountain in the world is ...",Entity
1511,"The composer of the 'Moonlight Sonata' is ...",Entity
1512,"The national animal of Australia is the ...",Entity
1513,"The Nobel Prize was founded by ...",Entity
1514,"The famous equation E=mc^2 was proposed by ...",Entity
1515,"The currency used in India is the ...",Entity
1516,"The founder of Microsoft is ...",Entity
1517,"The first man to walk on the moon was ...",Entity
1518,"The painting 'The Starry Night' was created by ...",Entity
1519,"The longest river in South America is the ...",Entity
1520,"The theory of evolution was proposed by ...",Entity
1521,"The currency used in Brazil is the ...",Entity
1522,"The author of 'To Kill a Mockingbird' is ...",Entity
1523,"The largest island in the world is ...",Entity
1524,"The inventor of the light bulb was ...",Entity
1525,"The currency used in Russia is the ...",Entity
1526,"The composer of 'The Four Seasons' is ...",Entity
1527,"The national animal of Canada is the ...",Entity
1528,"The discovery of gravity is credited to ...",Entity
1529,"The currency used in Germany is the ...",Entity
1530,"The author of '1984' is ...",Entity
1531,"The largest lake in the world is ...",Entity
1532,"The theory of relativity was formulated by ...",Entity
1533,"The currency used in France is the ...",Entity
1534,"The composer of 'The Marriage of Figaro' is ...",Entity
1535,"The national animal of China is the ...",Entity
1536,"The invention of the telephone is attributed to ...",Entity
1537,"The currency used in Australia is the ...",Entity
1538,"The author of 'The Catcher in the Rye' is ...",Entity
1539,"The highest mountain in North America is ...",Entity
1540,"The discovery of penicillin is credited to ...",Entity
1541,"The currency used in Canada is the ...",Entity
1542,"The composer of 'The Nutcracker' is ...",Entity
1543,"The national animal of India is the ...",Entity
1544,"The discovery of America is associated with ...",Entity
1545,"The currency used in Italy is the ...",Entity
1546,"The author of 'Lord of the Rings' is ...",Entity
1547,"The largest river in Europe is the ...",Entity
1548,"The theory of relativity was introduced by ...",Entity
1549,"The currency used in South Africa is the ...",Entity
1550,"The composer of 'The Magic Flute' is ...",Entity
1551,"The national animal of Brazil is the ...",Entity
1552,"The invention of the airplane is attributed to ...",Entity
1553,"The currency used in Spain is the ...",Entity
1554,"The author of 'Pride and Prejudice' is ...",Entity
1555,"The deepest lake in the world is ...",Entity
1556,"The theory of gravity was proposed by ...",Entity
1557,"The currency used in Mexico is the ...",Entity
1558,"The composer of 'Carmen' is ...",Entity
1559,"The national animal of Russia is the ...",Entity
1560,"The discovery of electricity is credited to ...",Entity
1561,"The currency used in Argentina is the ...",Entity
1562,"The author of 'The Odyssey' is ...",Entity
1563,"The highest mountain in South America is ...",Entity
1564,"The theory of evolution was introduced by ...",Entity
1565,"The currency used in China is the ...",Entity
1566,"The composer of 'The William Tell Overture' is ...",Entity
1567,"The national animal of the United States is the ...",Entity
1568,"The invention of the computer is attributed to ...",Entity
1569,"The currency used in Sweden is the ...",Entity
1570,"The longest river in Canada is the ...",Entity
1571,"The composer of 'Carmen' is ...",Entity
1572,"The national flower of India is ...",Entity
1573,"The inventor of the telephone was ...",Entity
1574,"The currency used in Russia is the ...",Entity
1575,"The capital city of France is ...",Entity
1576,"The theory of relativity was proposed by ...",Entity
1577,"The currency used in the United Kingdom is the ...",Entity
1578,"The largest desert in the world is the Sahara ...",Entity
1579,"The Mona Lisa was painted by ...",Entity
1580,"The author of 'The Great Gatsby' is ...",Entity
1581,"The deepest point in the ocean is the ...",Entity
1582,"The first president of the United States was ...",Entity
1583,"The currency used in Japan is the ...",Entity
1584,"The tallest mountain in the world is ...",Entity
1585,"The composer of the 'Moonlight Sonata' is ...",Entity
1586,"The national animal of Australia is the ...",Entity
1587,"The Nobel Prize was founded by ...",Entity
1588,"The famous equation E=mc^2 was proposed by ...",Entity
1589,"The currency used in India is the ...",Entity
1590,"The founder of Microsoft is ...",Entity
1591,"The first man to walk on the moon was ...",Entity
1592,"The painting 'The Starry Night' was created by ...",Entity
1593,"The longest river in South America is the ...",Entity
1594,"The theory of evolution was proposed by ...",Entity
1595,"The currency used in Brazil is the ...",Entity
1596,"The author of 'To Kill a Mockingbird' is ...",Entity
1597,"The largest island in the world is ...",Entity
1598,"The inventor of the light bulb was ...",Entity
1599,"The currency used in Russia is the ...",Entity
1600,"The composer of 'The Four Seasons' is ...",Entity
1601,"The national animal of Canada is the ...",Entity
1602,"The discovery of gravity is credited to ...",Entity
1603,"The currency used in Germany is the ...",Entity
1604,"The author of '1984' is ...",Entity
1605,"The largest lake in the world is ...",Entity
1606,"The theory of relativity was formulated by ...",Entity
1607,"The currency used in France is the ...",Entity
1608,"The composer of 'The Marriage of Figaro' is ...",Entity
1609,"The national animal of China is the ...",Entity
1610,"The invention of the telephone is attributed to ...",Entity
1611,"The currency used in Australia is the ...",Entity
1612,"The author of 'The Catcher in the Rye' is ...",Entity
1613,"The highest mountain in North America is ...",Entity
1614,"The discovery of penicillin is credited to ...",Entity
1615,"The currency used in Canada is the ...",Entity
1616,"The composer of 'The Nutcracker' is ...",Entity
1617,"The national animal of India is the ...",Entity
1618,"The discovery of America is associated with ...",Entity
1619,"The currency used in Italy is the ...",Entity
1620,"The author of 'Lord of the Rings' is ...",Entity
1621,"The largest river in Europe is the ...",Entity
1622,"The theory of relativity was introduced by ...",Entity
1623,"The currency used in South Africa is the ...",Entity
1624,"The composer of 'The Magic Flute' is ...",Entity
1625,"The national animal of Brazil is the ...",Entity
1626,"The invention of the airplane is attributed to ...",Entity
1627,"The currency used in Spain is the ...",Entity
1628,"The author of 'Pride and Prejudice' is ...",Entity
1629,"The deepest lake in the world is ...",Entity
1630,"The theory of gravity was proposed by ...",Entity
1631,"The currency used in Mexico is the ...",Entity
1632,"The composer of 'Carmen' is ...",Entity
1633,"The national animal of Russia is the ...",Entity
1634,"The discovery of electricity is credited to ...",Entity
1635,"The currency used in Argentina is the ...",Entity
1636,"The author of 'The Odyssey' is ...",Entity
1637,"The highest mountain in South America is ...",Entity
1638,"The theory of evolution was introduced by ...",Entity
1639,"The currency used in China is the ...",Entity
1640,"The composer of 'The William Tell Overture' is ...",Entity
1641,"The national animal of the United States is the ...",Entity
1642,"The invention of the computer is attributed to ...",Entity
1643,"The currency used in Sweden is the ...",Entity
1644,"The longest river in Canada is the ...",Entity
1645,"The composer of 'Carmen' is ...",Entity
1646,"The national flower of India is ...",Entity
1647,"The inventor of the telephone was ...",Entity
1648,"The currency used in Russia is the ...",Entity
1649,"The capital city of France is ...",Entity
1650,"The theory of relativity was proposed by ...",Entity
1651,"The currency used in the United Kingdom is the ...",Entity
1652,"The largest desert in the world is the Sahara ...",Entity
1653,"The Mona Lisa was painted by ...",Entity
1654,"The author of 'The Great Gatsby' is ...",Entity
1655,"The deepest point in the ocean is the ...",Entity
1656,"The first president of the United States was ...",Entity
1657,"The currency used in Japan is the ...",Entity
1658,"The tallest mountain in the world is ...",Entity
1659,"The composer of the 'Moonlight Sonata' is ...",Entity
1660,"The national animal of Australia is the ...",Entity
1661,"The Nobel Prize was founded by ...",Entity
1662,"The famous equation E=mc^2 was proposed by ...",Entity
1663,"The currency used in India is the ...",Entity
1664,"The founder of Microsoft is ...",Entity
1665,"The first man to walk on the moon was ...",Entity
1666,"The painting 'The Starry Night' was created by ...",Entity
1667,"The longest river in South America is the ...",Entity
1668,"The theory of evolution was proposed by ...",Entity
1669,"The currency used in Brazil is the ...",Entity
1670,"The author of 'To Kill a Mockingbird' is ...",Entity
1671,"The largest island in the world is ...",Entity
1672,"The inventor of the light bulb was ...",Entity
1673,"The currency used in Russia is the ...",Entity
1674,"The composer of 'The Four Seasons' is ...",Entity
1675,"The national animal of Canada is the ...",Entity
1676,"The discovery of gravity is credited to ...",Entity
1677,"The currency used in Germany is the ...",Entity
1678,"The author of '1984' is ...",Entity
1679,"The largest lake in the world is ...",Entity
1680,"The theory of relativity was formulated by ...",Entity
1681,"The currency used in France is the ...",Entity
1682,"The composer of 'The Marriage of Figaro' is ...",Entity
1683,"The national animal of China is the ...",Entity
1684,"The invention of the telephone is attributed to ...",Entity
1685,"The currency used in Australia is the ...",Entity
1686,"The author of 'The Catcher in the Rye' is ...",Entity
1687,"The highest mountain in North America is ...",Entity
1688,"The discovery of penicillin is credited to ...",Entity
1689,"The currency used in Canada is the ...",Entity
1690,"The composer of 'The Nutcracker' is ...",Entity
1691,"The national animal of India is the ...",Entity
1692,"The discovery of America is associated with ...",Entity
1693,"The currency used in Italy is the ...",Entity
1694,"The deepest part of the ocean is called the Mariana Trench...",Entity
1695,"The Nobel Prize winner for literature in 2020 was...",Entity
1696,"The inventor of the World Wide Web is...",Entity
1697,"The largest mammal in the world is the...",Entity
1698,"The author of 'The Chronicles of Narnia' is...",Entity
1699,"The chemical element with the symbol Fe represents...",Entity
1700,"The first human in space was...",Entity
1701,"The currency used in South Korea is the...",Entity
1702,"The longest river in South America is the...",Entity
1703,"The painter of the Sistine Chapel ceiling was...",Entity
1704,"The highest mountain in the world is...",Entity
1705,"The currency used in Switzerland is the...",Entity
1706,"The inventor of the light bulb is...",Entity
1707,"The capital of Brazil is...",Entity
1708,"The fastest land animal is the...",Entity
1709,"The author of 'The Old Man and the Sea' is...",Entity
1710,"The currency used in Thailand is the...",Entity
1711,"The largest moon of Saturn is...",Entity
1712,"The composer of 'The Magic Flute' is...",Entity
1713,"The national animal of Canada is the...",Entity
1714,"The discovery of penicillin is attributed to...",Entity
1715,"The currency used in Australia is the...",Entity
1716,"The tallest building in the world is...",Entity
1717,"The currency used in Denmark is the...",Entity
1718,"The inventor of the theory of general relativity is...",Entity
1719,"The national animal of Scotland is the...",Entity
1720,"The discovery of the theory of evolution is credited to...",Entity
1721,"The currency used in Egypt is the...",Entity
1722,"The longest river in Asia is the...",Entity
1723,"The creator of the 'Harry Potter' series is...",Entity
1724,"The currency used in Mexico is the...",Entity
1725,"The largest island country in the world is...",Entity
1726,"The currency used in Singapore is the...",Entity
1727,"The inventor of the telephone is...",Entity
1728,"The capital of Canada is...",Entity
1729,"The currency used in Russia is the...",Entity
1730,"The longest river in Europe is the...",Entity
1731,"The author of 'Brave New World' is...",Entity
1732,"The currency used in Turkey is the...",Entity
1733,"The tallest tree in the world is...",Entity
1734,"The currency used in Poland is the...",Entity
1735,"The inventor of the electric battery is...",Entity
1736,"The capital of Italy is...",Entity
1737,"The largest species of big cat is the...",Entity
1738,"The author of 'The Iliad' is...",Entity
1739,"The currency used in Brazil is the...",Entity
1740,"The tallest animal in the world is the...",Entity
1741,"The inventor of the airplane is...",Entity
1742,"The capital of South Africa is...",Entity
1743,"The fastest bird in the world is the...",Entity
1744,"The author of 'Frankenstein' is...",Entity
1745,"The currency used in Saudi Arabia is the...",Entity
1746,"The deepest lake in the world is...",Entity
1747,"The capital of Spain is...",Entity
1748,"The largest bird in the world is the...",Entity
1749,"The author of 'Crime and Punishment' is...",Entity
1750,"The currency used in South Africa is the...",Entity
1751,"The Nobel Prize in Physics 2021 was awarded to...",Entity
1752,"The architect behind the Sydney Opera House is...",Entity
1753,"The chemical symbol H2O represents...",Entity
1754,"The first female Prime Minister of the United Kingdom was...",Entity
1755,"The composer of 'The Four Seasons' is...",Entity
1756,"The currency used in Switzerland is the...",Entity
1757,"The first person to summit Mount Everest was...",Entity
1758,"The founder of Amazon is...",Entity
1759,"The capital city of Germany is...",Entity
1760,"The first person to receive two Nobel Prizes in different fields was...",Entity
1761,"The inventor of the World Wide Web is...",Entity
1762,"The tallest mountain in the Andes is...",Entity
1763,"The author of 'Pride and Prejudice' is...",Entity
1764,"The first satellite launched into space was named...",Entity
1765,"The painter of the 'Mona Lisa' is...",Entity
1766,"The currency used in Japan is the...",Entity
1767,"The longest river in China is...",Entity
1768,"The architect of the Eiffel Tower is...",Entity
1769,"The capital city of Brazil is...",Entity
1770,"The first astronaut to orbit Earth was...",Entity
1771,"The composer of 'Moonlight Sonata' is...",Entity
1772,"The currency used in India is the...",Entity
1773,"The longest river in Africa is the...",Entity
1774,"The inventor of the telephone is...",Entity
1775,"The capital city of Russia is...",Entity
1776,"The first person to circumnavigate the globe was...",Entity
1777,"The painter of the 'Starry Night' is...",Entity
1778,"The currency used in Australia is the...",Entity
1779,"The longest river in South America is...",Entity
1780,"The author of 'The Great Gatsby' is...",Entity
1781,"The first human to walk on the moon was...",Entity
